genus_species,number_of_populations,database
Melanophryniscus_devincenzii,1,LPI
Melanostigma_atlanticum,8,LPI
Melanosuchus_niger,6,LPI
Meleagris_gallopavo,2,LPI
Meles_meles,4,LPI
Melichthys_niger,6,LPI
Melierax_canorus,2,LPI
Melierax_metabates,1,LPI
Meliphaga_lewinii,3,LPI
Melithreptus_brevirostris,1,LPI
Melithreptus_lunatus,1,LPI
Melomys_burtoni,1,LPI
Melospiza_georgiana,1,LPI
Melospiza_lincolnii,1,LPI
Melospiza_melodia,1,LPI
Melozone_aberti,1,LPI
Melozone_crissalis,1,LPI
Melozone_fusca,1,LPI
Menetia_greyii,1,LPI
Menidia_beryllina,5,LPI
Menidia_menidia,71,LPI
Menticirrhus_americanus,3,LPI
Menticirrhus_littoralis,1,LPI
Menticirrhus_saxatilis,1,LPI
Mephitis_mephitis,10,LPI
Mergellus_albellus,2,LPI
Mergus_merganser,8,LPI
Mergus_serrator,11,LPI
Meristogenys_phaeomerus,3,LPI
Merlangius_merlangus,12,LPI
Merluccius_albidus,3,LPI
Merluccius_australis,3,LPI
Merluccius_bilinearis,16,LPI
Merluccius_capensis,1,LPI
Merluccius_gayi,2,LPI
Merluccius_hubbsi,3,LPI
Merluccius_merluccius,7,LPI
Merluccius_paradoxus,1,LPI
Merluccius_polli,1,LPI
Merluccius_productus,1,LPI
Meroles_anchietae,1,LPI
Merops_apiaster,7,LPI
Mesembrinibis_cayennensis,1,LPI
Mesembriomys_gouldii,1,LPI
Mesoplodon_bidens,1,LPI
Metachirus_nudicaudatus,1,LPI
Metopidius_indicus,1,LPI
Meuschenia_australis,2,LPI
Meuschenia_scaber,1,LPI
Micaelamys_namaquensis,1,LPI
Micoureus_demerarae,1,LPI
Micoureus_paraguayanus,1,LPI
Micrastur_ruficollis,1,LPI
Microcanthus_strigatus,3,LPI
Microcarbo_africanus,4,LPI
Microcarbo_coronatus,1,LPI
Microcarbo_melanoleucos,1,LPI
Microcarbo_niger,18,LPI
Microcarbo_pygmaeus,10,LPI
Microcebus_murinus,1,LPI
Microgadus_proximus,6,LPI
Microgadus_tomcod,29,LPI
Microgale_drouhardi,1,LPI
Microgale_fotsifotsy,1,LPI
Microgale_longicaudata,1,LPI
Microgale_talazaci,1,LPI
Micromesistius_australis,3,LPI
Micromesistius_poutassou,3,LPI
Micromys_minutus,1,LPI
Micronisus_gabar,1,LPI
Microphis_lineatus,1,LPI
Micropogonias_furnieri,6,LPI
Micropogonias_undulatus,1,LPI
Micropterus_dolomieu,2,LPI
Micropterus_salmoides,15,LPI
Microspathodon_chrysurus,13,LPI
Microstomus_achne,1,LPI
Microstomus_bathybius,4,LPI
Microstomus_pacificus,10,LPI
Microtus_agrestis,6,LPI
Microtus_arvalis,11,LPI
Microtus_californicus,2,LPI
Microtus_longicaudus,3,LPI
Microtus_montanus,2,LPI
Microtus_oeconomus,5,LPI
Microtus_pennsylvanicus,10,LPI
Microtus_subterraneus,2,LPI
Microtus_townsendii,1,LPI
Milvago_chimachima,1,LPI
Milvus_migrans,5,LPI
Milvus_milvus,4,LPI
Mimus_polyglottos,1,LPI
Mimus_saturninus,1,LPI
Mionectes_macconnelli,3,LPI
Mionectes_oleagineus,1,LPI
Mirounga_angustirostris,1,LPI
Mirounga_leonina,2,LPI
Misgurnus_fossilis,1,LPI
Mitu_salvini,1,LPI
Mitu_tuberosum,1,LPI
Mixophyes_fleayi,2,LPI
Mniotilta_varia,2,LPI
Mobula_alfredi,4,LPI
Mobula_birostris,2,LPI
Mobula_mobular,2,LPI
Moenkhausia_chrysargyrea,1,LPI
Moenkhausia_intermedia,4,LPI
Moenkhausia_sanctaefilomenae,2,LPI
Moenkhausia_surinamensis,1,LPI
Molossus_molossus,1,LPI
Molothrus_aeneus,1,LPI
Molothrus_ater,1,LPI
Molothrus_bonariensis,2,LPI
Molva_molva,1,LPI
Monachus_monachus,1,LPI
Monachus_schauinslandi,2,LPI
Monarcha_melanopsis,3,LPI
Monodactylus_argenteus,1,LPI
Monodactylus_falciformis,6,LPI
Monodon_monoceros,1,LPI
Monotaxis_grandoculis,3,LPI
Monticola_saxatilis,1,LPI
Monticola_solitarius,1,LPI
Moolgarda_cunnesius,2,LPI
Mora_moro,1,LPI
Morelia_spilota,1,LPI
Morethia_boulengeri,2,LPI
Morone_americana,9,LPI
Morone_chrysops,4,LPI
Morone_saxatilis,28,LPI
Morus_bassanus,11,LPI
Morus_capensis,2,LPI
Morus_serrator,1,LPI
Moschus_moschiferus,1,LPI
Motacilla_alba,3,LPI
Motacilla_cinerea,2,LPI
Motacilla_flava,2,LPI
Moxostoma_anisurum,1,LPI
Moxostoma_carinatum,1,LPI
Moxostoma_macrolepidotum,3,LPI
Moxostoma_robustum,1,LPI
Moxostoma_valenciennesi,2,LPI
Mugil_cephalus,10,LPI
Mugil_curema,3,LPI
Mugil_gaimardianus,1,LPI
Mugil_liza,2,LPI
Mulloidichthys_flavolineatus,2,LPI
Mulloidichthys_martinicus,1,LPI
Mulloidichthys_vanicolensis,1,LPI
Mullus_barbatus,2,LPI
Mullus_surmuletus,7,LPI
Mungos_mungo,2,LPI
Muntiacus_muntjak,1,LPI
Muraena_helena,2,LPI
Mus_minutoides,2,LPI
Mus_musculus,5,LPI
Muscardinus_avellanarius,5,LPI
Muscicapa_striata,2,LPI
Mustela_erminea,12,LPI
Mustela_frenata,2,LPI
Mustela_nivalis,3,LPI
Mustelus_mustelus,4,LPI
Mustelus_schmitti,2,LPI
Myadestes_obscurus,4,LPI
Myadestes_occidentalis,1,LPI
Myadestes_townsendi,1,LPI
Mycteria_americana,2,LPI
Mycteria_cinerea,1,LPI
Mycteria_leucocephala,1,LPI
Mycteroperca_bonaci,5,LPI
Mycteroperca_interstitialis,2,LPI
Mycteroperca_microlepis,2,LPI
Mycteroperca_olfax,1,LPI
Mycteroperca_tigris,2,LPI
Mycteroperca_venenosa,2,LPI
Myiarchus_cinerascens,1,LPI
Myiarchus_crinitus,1,LPI
Myiarchus_ferox,1,LPI
Myiarchus_swainsoni,1,LPI
Myiarchus_tyrannulus,1,LPI
Myiodynastes_maculatus,1,LPI
Myiopagis_caniceps,1,LPI
Myiopagis_viridicata,1,LPI
Myiophobus_fasciatus,1,LPI
Myiopsitta_monachus,2,LPI
Myiornis_auricularis,1,LPI
Myiothlypis_flaveola,1,LPI
Myiothlypis_leucoblephara,1,LPI
Myiozetetes_similis,1,LPI
Myleus_rhomboidalis,1,LPI
Myleus_ternetzi,1,LPI
Myliobatis_aquila,3,LPI
Myliobatis_goodei,2,LPI
Myocastor_coypus,1,LPI
Myodes_gapperi,19,LPI
Myodes_glareolus,23,LPI
Myodes_rufocanus,6,LPI
Myodes_rutilus,5,LPI
Myoprocta_pratti,1,LPI
Myotis_capaccinii,1,LPI
Myotis_dasycneme,1,LPI
Myotis_daubentonii,2,LPI
Myotis_emarginatus,1,LPI
Myotis_keenii,1,LPI
Myotis_lucifugus,10,LPI
Myotis_myotis,1,LPI
Myotis_nattereri,2,LPI
Myotis_septentrionalis,2,LPI
Myotis_sodalis,1,LPI
Myotomys_unisulcatus,1,LPI
Myoxocephalus_aenaeus,4,LPI
Myoxocephalus_jaok,1,LPI
Myoxocephalus_octodecemspinosus,19,LPI
Myoxocephalus_polyacanthocephalus,4,LPI
Myoxocephalus_quadricornis,1,LPI
Myoxocephalus_scorpioides,1,LPI
Myoxocephalus_scorpius,15,LPI
Myripristis_berndti,3,LPI
Myripristis_jacobus,1,LPI
Myrmoborus_myotherinus,1,LPI
Myrmotherula_axillaris,1,LPI
Myrmotherula_longipennis,3,LPI
Myrmotherula_menetriesii,2,LPI
Myxine_glutinosa,17,LPI
Myzomela_rubratra,3,LPI
Myzomela_sanguinolenta,2,LPI
Myzopsetta_ferruginea,17,LPI
Myzopsetta_proboscidea,2,LPI
Nactus_serpensinsula,1,LPI
Nanger_granti,9,LPI
Nannopterum_auritus,6,LPI
Nannopterum_brasilianus,4,LPI
Napaeozapus_insignis,3,LPI
Naso_brevirostris,1,LPI
Naso_lituratus,5,LPI
Naso_unicornis,3,LPI
Naso_vlamingii,2,LPI
Nasua_narica,3,LPI
Natator_depressus,5,LPI
Natrix_maura,1,LPI
Natrix_natrix,4,LPI
Natrix_tessellata,3,LPI
Naultinus_manukanus,1,LPI
Nebrius_ferrugineus,2,LPI
Necrosyrtes_monachus,3,LPI
Nectomys_squamipes,4,LPI
Necturus_maculosus,3,LPI
Neetroplus_nematopus,1,LPI
Negaprion_acutidens,3,LPI
Negaprion_brevirostris,2,LPI
Nemadactylus_douglasii,1,LPI
Nemadactylus_macropterus,2,LPI
Nemichthys_scolopaceus,7,LPI
Nemipterus_virgatus,1,LPI
Nemosia_pileata,1,LPI
Neochmia_temporalis,2,LPI
Neocyttus_rhomboidalis,1,LPI
Neofelis_nebulosa,1,LPI
Neoglyphidodon_nigroris,2,LPI
Neogobius_melanostomus,4,LPI
Neomys_fodiens,2,LPI
Neoodax_balteatus,4,LPI
Neophocaena_phocaenoides,18,LPI
Neophron_percnopterus,3,LPI
Neopomacentrus_azysron,4,LPI
Neopomacentrus_bankieri,1,LPI
Neopomacentrus_cyanomos,4,LPI
Neoscorpis_lithophilus,1,LPI
Neotoma_albigula,1,LPI
Neotoma_fuscipes,3,LPI
Neotoma_magister,1,LPI
Neovison_vison,2,LPI
Nerodia_fasciata,1,LPI
Nerodia_floridana,1,LPI
Nerodia_sipedon,1,LPI
Nestor_meridionalis,1,LPI
Netta_erythrophthalma,1,LPI
Netta_rufina,7,LPI
Nettapus_auritus,2,LPI
Netuma_proxima,1,LPI
Nezumia_bairdii,19,LPI
Niviventer_cremoriventer,1,LPI
Nomascus_concolor,1,LPI
Nomascus_gabriellae,2,LPI
Notacanthus_chemnitzii,11,LPI
Notechis_scutatus,1,LPI
Notemigonus_crysoleucas,3,LPI
Nothura_maculosa,1,LPI
Notolabrus_celidotus,1,LPI
Notolabrus_fucicola,4,LPI
Notolabrus_tetricus,6,LPI
Notophthalmus_perstriatus,1,LPI
Notophthalmus_viridescens,9,LPI
Notorynchus_cepedianus,3,LPI
Notothenia_rossii,3,LPI
Notropis_atherinoides,1,LPI
Notropis_cahabae,1,LPI
Notropis_dorsalis,1,LPI
Notropis_hudsonius,4,LPI
Noturus_flavus,1,LPI
Noturus_gyrinus,1,LPI
Nuchequula_gerreoides,1,LPI
Nuchequula_nuchalis,2,LPI
Nucifraga_caryocatactes,1,LPI
Nucifraga_columbiana,1,LPI
Numenius_americanus,1,LPI
Numenius_arquata,7,LPI
Numenius_madagascariensis,7,LPI
Numenius_phaeopus,22,LPI
Numenius_tahitiensis,3,LPI
Numenius_tenuirostris,1,LPI
Nyctalus_noctula,1,LPI
Nyctanassa_violacea,3,LPI
Nycticorax_nycticorax,28,LPI
Nyctidromus_albicollis,1,LPI
Oblada_melanura,3,LPI
Ocadia_sinensis,2,LPI
Ochotona_collaris,1,LPI
Octodon_degus,2,LPI
Ocyurus_chrysurus,20,LPI
Odobenus_rosmarus,6,LPI
Odocoileus_hemionus,15,LPI
Odocoileus_virginianus,31,LPI
Odontesthes_argentinensis,2,LPI
Odontesthes_bonariensis,1,LPI
Odontesthes_hatcheri,1,LPI
Odontophrynus_americanus,2,LPI
Odorrana_hosii,3,LPI
Odorrana_swinhoana,2,LPI
Oecomys_mamorae,1,LPI
Oedipina_collaris,1,LPI
Oedipina_parvipes,1,LPI
Oenanthe_cypriaca,1,LPI
Oenanthe_hispanica,1,LPI
Oenanthe_oenanthe,2,LPI
Ognorhynchus_icterotis,1,LPI
Oligoplites_saurus,1,LPI
Oligoryzomys_longicaudatus,1,LPI
Oligoryzomys_nigripes,2,LPI
Oligosarcus_robustus,1,LPI
Oligosoma_alani,1,LPI
Oligosoma_polychroma,1,LPI
Oligosoma_suteri,1,LPI
Oligosoma_whitakeri,1,LPI
Olisthops_cyanomelas,2,LPI
Omobranchus_woodi,1,LPI
Oncopterus_darwinii,2,LPI
Oncorhynchus_clarkii,6,LPI
Oncorhynchus_gorbuscha,25,LPI
Oncorhynchus_keta,37,LPI
Oncorhynchus_kisutch,37,LPI
Oncorhynchus_mykiss,11,LPI
Oncorhynchus_nerka,59,LPI
Oncorhynchus_tshawytscha,46,LPI
Onychogalea_fraenata,1,LPI
Onychomys_leucogaster,1,LPI
Onychomys_torridus,1,LPI
Onychoprion_anaethetus,4,LPI
Onychoprion_fuscatus,3,LPI
Onychoprion_lunatus,1,LPI
Onychostoma_barbatulum,4,LPI
Oophaga_pumilio,1,LPI
Oophaga_vicentei,1,LPI
Ophioblennius_atlanticus,1,LPI
Ophiodon_elongatus,7,LPI
Oporornis_agilis,1,LPI
Orcaella_brevirostris,2,LPI
Orcaella_heinsohni,1,LPI
Orcinus_orca,15,LPI
Oreobates_discoidalis,2,LPI
Oreochromis_esculentus,1,LPI
Oreochromis_mossambicus,6,LPI
Oreochromis_niloticus,2,LPI
Oreochromis_variabilis,1,LPI
Oreoica_gutturalis,1,LPI
Oreortyx_pictus,1,LPI
Oreoscoptes_montanus,1,LPI
Oreotragus_oreotragus,2,LPI
Oriolus_chinensis,1,LPI
Oriolus_oriolus,2,LPI
Orthotomus_sutorius,1,LPI
Oryctolagus_cuniculus,12,LPI
Oryx_beisa,2,LPI
Oryx_dammah,1,LPI
Oryx_leucoryx,2,LPI
Osmerus_mordax,9,LPI
Osteocephalus_taurinus,1,LPI
Osteoglossum_bicirrhosum,4,LPI
Osteomugil_robustus,1,LPI
Ostorhinchus_apogonoides,1,LPI
Ostorhinchus_cookii,3,LPI
Ostorhinchus_doederleini,4,LPI
Ostorhinchus_fleurieu,3,LPI
Ostorhinchus_holotaenia,4,LPI
Otaria_flavescens,8,LPI
Otis_tarda,5,LPI
Otocyon_megalotis,1,LPI
Otomys_irroratus,1,LPI
Otus_ireneae,4,LPI
Ourebia_ourebi,4,LPI
Ovibos_moschatus,3,LPI
Ovis_ammon,3,LPI
Ovis_aries,8,LPI
Ovis_canadensis,10,LPI
Ovis_dalli,4,LPI
Ovis_nivicola,1,LPI
Oxycheilinus_digramma,4,LPI
Oxymycterus_rufus,1,LPI
Oxyura_jamaicensis,4,LPI
Oxyura_leucocephala,23,LPI
Ozotoceros_bezoarticus,2,LPI
Pachycephala_pectoralis,2,LPI
Pachycephala_rufiventris,2,LPI
Pachymetopon_aeneum,2,LPI
Pachymetopon_blochii,1,LPI
Pachymetopon_grande,1,LPI
Pachyramphus_polychopterus,1,LPI
Pachyramphus_validus,1,LPI
Pagellus_bellottii,1,LPI
Pagodroma_nivea,1,LPI
Pagophila_eburnea,5,LPI
Pagophilus_groenlandicus,2,LPI
Pagrus_major,3,LPI
Pagrus_pagrus,4,LPI
Paguma_larvata,1,LPI
Pallasina_barbata,1,LPI
Pampus_argenteus,1,LPI
Pan_paniscus,1,LPI
Pan_troglodytes,19,LPI
Pandion_haliaetus,11,LPI
Panthera_leo,10,LPI
Panthera_onca,6,LPI
Panthera_pardus,6,LPI
Panthera_tigris,47,LPI
Pantherophis_obsoletus,2,LPI
Panurus_biarmicus,7,LPI
Papasula_abbotti,1,LPI
Papio_anubis,4,LPI
Papio_hamadryas,1,LPI
Parablennius_pilicornis,1,LPI
Parabuteo_unicinctus,1,LPI
Paracaesio_caerulea,1,LPI
Parachondrostoma_arrigonis,1,LPI
Paracirrhites_arcatus,2,LPI
Paradoxurus_hermaphroditus,1,LPI
Paradoxurus_jerdoni,1,LPI
Paragobiodon_echinocephalus,1,LPI
Parajulis_poecilepterus,1,LPI
Paralepis_coregonoides,3,LPI
Paralichthys_dentatus,2,LPI
Paralichthys_oblongus,4,LPI
Paralichthys_olivaceus,4,LPI
Paralichthys_orbignyanus,1,LPI
Parapercis_colias,1,LPI
Parapimelodus_nigribarbis,1,LPI
Parapristipoma_trilineatum,2,LPI
Pardalotus_punctatus,2,LPI
Pardirallus_nigricans,2,LPI
Pardirallus_sanguinolentus,1,LPI
Pardofelis_marmorata,1,LPI
Parkesia_motacilla,1,LPI
Parkesia_noveboracensis,1,LPI
Parona_signata,2,LPI
Parophrys_vetulus,8,LPI
Parupeneus_barberinus,1,LPI
Parupeneus_ciliatus,2,LPI
Parupeneus_cyclostomus,1,LPI
Parupeneus_indicus,2,LPI
Parupeneus_insularis,1,LPI
Parupeneus_porphyreus,1,LPI
Parus_major,2,LPI
Parvimolge_townsendi,1,LPI
Passer_domesticus,4,LPI
Passer_montanus,4,LPI
Passerculus_bairdii,1,LPI
Passerculus_henslowii,1,LPI
Passerculus_sandwichensis,1,LPI
Passerella_iliaca,1,LPI
Passerina_amoena,1,LPI
Passerina_caerulea,1,LPI
Passerina_ciris,1,LPI
Passerina_cyanea,1,LPI
Patagioenas_cayennensis,1,LPI
Patagioenas_fasciata,1,LPI
Patagioenas_leucocephala,2,LPI
Patagioenas_picazuro,1,LPI
Patagonotothen_guntheri,1,LPI
Patagonotothen_ramsayi,1,LPI
Pavo_cristatus,1,LPI
Pavo_muticus,1,LPI
Pecari_tajacu,8,LPI
Pegusa_lascaris,1,LPI
Pegusa_nasuta,1,LPI
Pekania_pennanti,4,LPI
Pelates_sexlineatus,1,LPI
Pelecanus_conspicillatus,2,LPI
Pelecanus_crispus,23,LPI
Pelecanus_erythrorhynchos,1,LPI
Pelecanus_occidentalis,1,LPI
Pelecanus_onocrotalus,10,LPI
Pelecanus_philippensis,6,LPI
Pelecanus_rufescens,3,LPI
Pellona_flavipinnis,1,LPI
Pelmatolapia_mariae,1,LPI
Pelobates_cultripes,1,LPI
Pelobates_fuscus,1,LPI
Pelodytes_punctatus,3,LPI
Pelophylax_bedriagae,1,LPI
Pelophylax_perezi,2,LPI
Pempheris_multiradiata,4,LPI
Pempheris_oualensis,1,LPI
Penelope_jacquacu,1,LPI
Penelope_obscura,1,LPI
Penelope_superciliaris,1,LPI
Pennahia_anea,3,LPI
Pentaceros_wheeleri,1,LPI
Peprilus_triacanthus,8,LPI
Perameles_gunnii,1,LPI
Perca_flavescens,9,LPI
Perca_fluviatilis,17,LPI
Percichthys_trucha,1,LPI
Percilia_irwini,2,LPI
Percina_caprodes,1,LPI
Percophis_brasiliensis,1,LPI
Percopsis_omiscomaycus,4,LPI
Perdix_perdix,2,LPI
Periparus_ater,3,LPI
Perisoreus_canadensis,1,LPI
Perisoreus_infaustus,1,LPI
Pernis_apivorus,1,LPI
Perognathus_flavus,1,LPI
Perognathus_parvus,3,LPI
Peromyscus_eremicus,1,LPI
Peromyscus_keeni,4,LPI
Peromyscus_levipes,1,LPI
Peromyscus_maniculatus,24,LPI
Peromyscus_melanophrys,2,LPI
Peromyscus_pseudocrinitus,1,LPI
Petaurus_breviceps,1,LPI
Petaurus_norfolcensis,1,LPI
Petrochelidon_fulva,1,LPI
Petrochelidon_nigricans,1,LPI
Petrochelidon_pyrrhonota,1,LPI
Petrogale_penicillata,2,LPI
Petrogale_xanthopus,1,LPI
Petroica_australis,1,LPI
Petroica_longipes,12,LPI
Petroica_phoenicea,2,LPI
Petroica_traversi,1,LPI
Petromyzon_marinus,4,LPI
Petronia_petronia,1,LPI
Petropseudes_dahli,1,LPI
Petroscirtes_breviceps,1,LPI
Petrus_rupestris,1,LPI
Peucaea_aestivalis,1,LPI
Peucaea_cassinii,1,LPI
Phacellodomus_ferrugineigula,1,LPI
Phacochoerus_aethiopicus,5,LPI
Phacochoerus_africanus,19,LPI
Phaethon_aethereus,2,LPI
Phaethon_lepturus,2,LPI
Phaethon_rubricauda,2,LPI
Phaethornis_longirostris,1,LPI
Phaethornis_longuemareus,2,LPI
Phaethornis_malaris,1,LPI
Phaethornis_pretrei,1,LPI
Phainopepla_nitens,1,LPI
Phalacrocorax_capensis,25,LPI
Phalacrocorax_carbo,59,LPI
Phalacrocorax_fuscescens,1,LPI
Phalacrocorax_neglectus,3,LPI
Phalacrocorax_nigrogularis,1,LPI
Phalacrocorax_varius,1,LPI
Phalaropus_fulicarius,6,LPI
Phalaropus_lobatus,3,LPI
Phanerodon_vacca,2,LPI
Pharomachrus_mocinno,1,LPI
Phascogale_pirata,1,LPI
Phascolarctos_cinereus,4,LPI
Phasianus_colchicus,3,LPI
Phelsuma_guentheri,1,LPI
Phelsuma_ornata,1,LPI
Phenacomys_intermedius,3,LPI
Pheucticus_ludovicianus,1,LPI
Pheucticus_melanocephalus,1,LPI
Philander_frenatus,3,LPI
Philantomba_maxwellii,2,LPI
Philantomba_monticola,1,LPI
Philesturnus_carunculatus,2,LPI
Philodryas_agassizii,1,LPI
Philoria_frosti,1,LPI
Phlegopsis_nigromaculata,1,LPI
Phoca_vitulina,32,LPI
Phocarctos_hookeri,2,LPI
Phocoena_phocoena,17,LPI
Phocoena_sinus,1,LPI
Phocoenoides_dalli,4,LPI
Phoebastria_albatrus,1,LPI
Phoebastria_immutabilis,2,LPI
Phoebastria_irrorata,1,LPI
Phoebastria_nigripes,1,LPI
Phoebetria_fusca,3,LPI
Phoebetria_palpebrata,1,LPI
Phoeniconaias_minor,5,LPI
Phoenicoparrus_andinus,1,LPI
Phoenicoparrus_jamesi,1,LPI
Phoenicopterus_chilensis,1,LPI
Phoenicopterus_roseus,16,LPI
Phoenicopterus_ruber,7,LPI
Phoenicurus_ochruros,1,LPI
Phoenicurus_phoenicurus,2,LPI
Pholis_gunnellus,9,LPI
Pholis_laeta,1,LPI
Phrynoidis_aspera,3,LPI
Phrynosoma_mcallii,1,LPI
Phycis_chesteri,13,LPI
Phylidonyris_novaehollandiae,3,LPI
Phyllomedusa_vaillantii,1,LPI
Phylloscopus_bonelli,1,LPI
Phylloscopus_collybita,6,LPI
Phylloscopus_ibericus,1,LPI
Phylloscopus_sibilatrix,3,LPI
Phylloscopus_trochiloides,1,LPI
Phylloscopus_trochilus,4,LPI
Phyllotis_darwini,3,LPI
Physalaemus_biligonigerus,3,LPI
Physalaemus_cuvieri,2,LPI
Physalaemus_feioi,1,LPI
Physalaemus_gracilis,2,LPI
Physeter_catodon,2,LPI
Piabucus_dentatus,1,LPI
Piaya_cayana,1,LPI
Pica_nutalli,1,LPI
Pica_pica,2,LPI
Picathartes_gymnocephalus,3,LPI
Picathartes_oreas,1,LPI
Picoides_arcticus,1,LPI
Picoides_tridactylus,1,LPI
Pictilabrus_laticlavius,4,LPI
Picumnus_albosquamatus,1,LPI
Picus_canus,1,LPI
Picus_viridis,2,LPI
Piliocolobus_gordonorum,2,LPI
Piliocolobus_pennantii,1,LPI
Piliocolobus_rufomitratus,1,LPI
Piliocolobus_tephrosceles,7,LPI
Pimelodella_cristata,1,LPI
Pimelodella_geryi,1,LPI
Pimelodus_maculatus,3,LPI
Pimephales_notatus,1,LPI
Pimephales_promelas,1,LPI
Pinicola_enucleator,1,LPI
Pinirampus_pirinampu,3,LPI
Pionus_maximiliani,3,LPI
Pipile_cumanensis,1,LPI
Pipile_jacutinga,1,LPI
Pipilo_chlorurus,1,LPI
Pipilo_erythrophthalmus,1,LPI
Pipilo_maculatus,1,LPI
Pipistrellus_pipistrellus,3,LPI
Pipistrellus_pygmaeus,2,LPI
Piranga_flava,1,LPI
Piranga_ludoviciana,1,LPI
Piranga_olivacea,1,LPI
Piranga_rubra,1,LPI
Pitangus_sulphuratus,1,LPI
Pithecia_monachus,1,LPI
Pituophis_catenifer,2,LPI
Placidochromis_longimanus,1,LPI
Plagioscion_squamosissimus,4,LPI
Planigale_maculata,1,LPI
Planiliza_alata,1,LPI
Planiliza_macrolepis,2,LPI
Planiliza_subviridis,2,LPI
Platalea_ajaja,3,LPI
Platalea_leucorodia,13,LPI
Platalea_minor,6,LPI
Platanichthys_platana,1,LPI
Platanista_gangetica,9,LPI
Platanista_minor,2,LPI
Platichthys_flesus,5,LPI
Platichthys_stellatus,8,LPI
Platycephalus_conatus,1,LPI
Platycephalus_endrachtensis,2,LPI
Platycephalus_fuscus,1,LPI
Platycephalus_indicus,3,LPI
Platycephalus_richardsoni,1,LPI
Platygobio_gracilis,1,LPI
Platyrinchus_mystaceus,1,LPI
Plecotus_auritus,1,LPI
Plecotus_austriacus,1,LPI
Plectroglyphidodon_dickii,3,LPI
Plectroglyphidodon_johnstonianus,2,LPI
Plectroglyphidodon_lacrymatus,3,LPI
Plectrophenax_nivalis,9,LPI
Plectropomus_areolatus,5,LPI
Plectropomus_laevis,1,LPI
Plectropomus_leopardus,10,LPI
Plectropomus_oligacanthus,2,LPI
Plectropterus_gambensis,3,LPI
Plegadis_chihi,1,LPI
Plegadis_falcinellus,15,LPI
Plestiodon_fasciatus,1,LPI
Plestiodon_latiscutatus,1,LPI
Plethodon_cinereus,10,LPI
Plethodon_elongatus,1,LPI
Plethodon_glutinosus,1,LPI
Plethodon_jordani,2,LPI
Plethodon_vehiculum,4,LPI
Pleurodeles_waltl,2,LPI
Pleurodema_borellii,3,LPI
Pleurogrammus_monopterygius,1,LPI
Pleuronectes_platessa,7,LPI
Pleuronectes_quadrituberculatus,2,LPI
Pleuronichthys_coenosus,1,LPI
Pleuronichthys_decurrens,4,LPI
Plicofollis_argyropleuron,1,LPI
Plicofollis_dussumieri,1,LPI
Ploceus_cucullatus,2,LPI
Ploceus_nigerrimus,2,LPI
Ploceus_philippinus,1,LPI
Pluvialis_apricaria,10,LPI
Pluvialis_dominica,3,LPI
Pluvialis_fulva,16,LPI
Pluvialis_squatarola,29,LPI
Podarcis_filfolensis,1,LPI
Podarcis_muralis,2,LPI
Podiceps_auritus,3,LPI
Podiceps_cristatus,16,LPI
Podiceps_grisegena,1,LPI
Podiceps_nigricollis,12,LPI
Podiceps_taczanowskii,1,LPI
Podilymbus_gigas,1,LPI
Podilymbus_podiceps,2,LPI
Podocnemis_expansa,2,LPI
Podocnemis_lewyana,3,LPI
Podocnemis_unifilis,3,LPI
Podothecus_accipenserinus,3,LPI
Poecile_atricapillus,1,LPI
Poecile_carolinensis,1,LPI
Poecile_gambeli,1,LPI
Poecile_hudsonicus,1,LPI
Poecile_montanus,3,LPI
Poecile_palustris,2,LPI
Poecile_rufescens,1,LPI
Poecilia_gillii,1,LPI
Poecilia_reticulata,1,LPI
Poecilotriccus_plumbeiceps,1,LPI
Pogonichthys_macrolepidotus,1,LPI
Pogoniulus_bilineatus,1,LPI
Poicephalus_robustus,1,LPI
Poikilocarbo_gaimardi,1,LPI
Polemaetus_bellicosus,2,LPI
Polihierax_semitorquatus,1,LPI
Poliocephalus_poliocephalus,1,LPI
Polioptila_caerulea,1,LPI
Polioptila_melanura,1,LPI
Pollachius_pollachius,1,LPI
Pollachius_virens,24,LPI
Polyacanthonotus_rissoanus,3,LPI
Polyboroides_typus,1,LPI
Polydactylus_macrochir,1,LPI
Polymixia_lowei,1,LPI
Polysteganus_praeorbitalis,2,LPI
Polysticta_stelleri,7,LPI
Polytelis_swainsonii,1,LPI
Pomacanthus_arcuatus,6,LPI
Pomacanthus_paru,1,LPI
Pomacentrus_adelus,2,LPI
Pomacentrus_bankanensis,4,LPI
Pomacentrus_brachialis,2,LPI
Pomacentrus_coelestis,7,LPI
Pomacentrus_grammorhynchus,1,LPI
Pomacentrus_lepidogenys,6,LPI
Pomacentrus_moluccensis,4,LPI
Pomacentrus_pavo,1,LPI
Pomacentrus_philippinus,2,LPI
Pomacentrus_wardi,2,LPI
Pomadasys_commersonnii,6,LPI
Pomadasys_kaakan,1,LPI
Pomadasys_olivaceus,2,LPI
Pomadasys_quadrilineatus,3,LPI
Pomarea_dimidiata,1,LPI
Pomatomus_saltatrix,9,LPI
Pomatoschistus_microps,3,LPI
Pomatoschistus_minutus,2,LPI
Pomatostomus_superciliosus,1,LPI
Pomatostomus_temporalis,7,LPI
Pomoxis_annularis,1,LPI
Pomoxis_nigromaculatus,2,LPI
Pongo_abelii,2,LPI
Pongo_pygmaeus,2,LPI
Pontoporia_blainvillei,1,LPI
